benchmark,scaling_param_name,scaling_param_value,num_blocks,threads_per_block,num_accesses,metric_name,metric_mean,kernel_ms_mean,n_reps
fp32_throughput,fmas_per_thread,256,32,64,,GFLOPS,2.1843,0.482966,7
fp32_throughput,fmas_per_thread,512,32,64,,GFLOPS,4.1557,0.508864,7
fp32_throughput,fmas_per_thread,1024,32,64,,GFLOPS,6.9043,0.737113,7
fp32_throughput,fmas_per_thread,2048,32,64,,GFLOPS,17.53,0.482369,7
fp32_throughput,fmas_per_thread,4096,32,64,,GFLOPS,32.98,0.512314,7
fp32_throughput,fmas_per_thread,8192,32,64,,GFLOPS,67.1771,0.50095,7
fp32_throughput,fmas_per_thread,16384,32,64,,GFLOPS,117.1614,0.575953,7
fp32_throughput,fmas_per_thread,32768,32,64,,GFLOPS,201.1471,0.670424,7
fp32_throughput,fmas_per_thread,65536,32,64,,GFLOPS,328.5429,0.820935,7
fp32_throughput,fmas_per_thread,131072,32,64,,GFLOPS,314.5029,2.074361,7
fp32_throughput,fmas_per_thread,262144,32,64,,GFLOPS,506.15,5.170274,7
fp32_throughput,fmas_per_thread,524288,32,64,,GFLOPS,779.4429,2.756456,7
fp32_throughput,fmas_per_thread,1048576,32,64,,GFLOPS,843.9029,5.089982,7
fp32_throughput,fmas_per_thread,256,32,256,,GFLOPS,8.2871,0.510436,7
fp32_throughput,fmas_per_thread,512,32,256,,GFLOPS,16.0843,0.526613,7
fp32_throughput,fmas_per_thread,1024,32,256,,GFLOPS,34.0486,0.498105,7
fp32_throughput,fmas_per_thread,2048,32,256,,GFLOPS,65.6771,0.515335,7
fp32_throughput,fmas_per_thread,4096,32,256,,GFLOPS,123.2329,0.548191,7
fp32_throughput,fmas_per_thread,8192,32,256,,GFLOPS,266.13,0.505069,7
fp32_throughput,fmas_per_thread,16384,32,256,,GFLOPS,465.6657,0.582242,7
fp32_throughput,fmas_per_thread,32768,32,256,,GFLOPS,790.3943,0.684845,7
fp32_throughput,fmas_per_thread,65536,32,256,,GFLOPS,1257.6729,0.857348,7
fp32_throughput,fmas_per_thread,131072,32,256,,GFLOPS,923.3214,2.327222,7
fp32_throughput,fmas_per_thread,262144,32,256,,GFLOPS,1506.4829,7.358391,7
fp32_throughput,fmas_per_thread,524288,32,256,,GFLOPS,3126.4457,2.748249,7
fp32_throughput,fmas_per_thread,1048576,32,256,,GFLOPS,3366.8157,5.103484,7
fp32_throughput,fmas_per_thread,256,32,1024,,GFLOPS,32.8714,0.514418,7
fp32_throughput,fmas_per_thread,512,32,1024,,GFLOPS,67.1257,0.506847,7
fp32_throughput,fmas_per_thread,1024,32,1024,,GFLOPS,140.8343,0.478215,7
fp32_throughput,fmas_per_thread,2048,32,1024,,GFLOPS,248.4714,0.547125,7
fp32_throughput,fmas_per_thread,4096,32,1024,,GFLOPS,531.3343,0.508453,7
fp32_throughput,fmas_per_thread,8192,32,1024,,GFLOPS,991.7029,0.550266,7
fp32_throughput,fmas_per_thread,16384,32,1024,,GFLOPS,1786.8429,0.606611,7
fp32_throughput,fmas_per_thread,32768,32,1024,,GFLOPS,3061.2457,0.70556,7
fp32_throughput,fmas_per_thread,65536,32,1024,,GFLOPS,4600.4243,0.93824,7
fp32_throughput,fmas_per_thread,131072,32,1024,,GFLOPS,3100.0314,4.123979,7
fp32_throughput,fmas_per_thread,262144,32,1024,,GFLOPS,8243.0486,2.131531,7
fp32_throughput,fmas_per_thread,524288,32,1024,,GFLOPS,9791.2414,3.509685,7
fp32_throughput,fmas_per_thread,1048576,32,1024,,GFLOPS,10502.2886,6.544164,7
fp32_throughput,fmas_per_thread,256,1024,1,,GFLOPS,1.0243,0.516343,7
fp32_throughput,fmas_per_thread,512,1024,1,,GFLOPS,2.1071,0.502998,7
fp32_throughput,fmas_per_thread,1024,1024,1,,GFLOPS,4.0243,0.528863,7
fp32_throughput,fmas_per_thread,2048,1024,1,,GFLOPS,7.6871,0.551114,7
fp32_throughput,fmas_per_thread,4096,1024,1,,GFLOPS,14.8729,0.571975,7
fp32_throughput,fmas_per_thread,8192,1024,1,,GFLOPS,32.4829,0.518711,7
fp32_throughput,fmas_per_thread,16384,1024,1,,GFLOPS,53.2371,0.633602,7
fp32_throughput,fmas_per_thread,32768,1024,1,,GFLOPS,100.8386,0.668853,7
fp32_throughput,fmas_per_thread,65536,1024,1,,GFLOPS,111.2143,1.533075,7
fp32_throughput,fmas_per_thread,131072,1024,1,,GFLOPS,109.3614,2.526846,7
fp32_throughput,fmas_per_thread,262144,1024,1,,GFLOPS,327.0186,1.643229,7
fp32_throughput,fmas_per_thread,524288,1024,1,,GFLOPS,379.9857,2.827213,7
fp32_throughput,fmas_per_thread,1048576,1024,1,,GFLOPS,427.7143,5.021258,7
fp32_throughput,fmas_per_thread,256,1024,32,,GFLOPS,33.0257,0.510116,7
fp32_throughput,fmas_per_thread,512,1024,32,,GFLOPS,70.0843,0.482007,7
fp32_throughput,fmas_per_thread,1024,1024,32,,GFLOPS,138.0757,0.492091,7
fp32_throughput,fmas_per_thread,2048,1024,32,,GFLOPS,239.5629,0.566721,7
fp32_throughput,fmas_per_thread,4096,1024,32,,GFLOPS,468.6614,0.58134,7
fp32_throughput,fmas_per_thread,8192,1024,32,,GFLOPS,1071.1129,0.503345,7
fp32_throughput,fmas_per_thread,16384,1024,32,,GFLOPS,1680.9129,0.645542,7
fp32_throughput,fmas_per_thread,32768,1024,32,,GFLOPS,3148.7629,0.686181,7
fp32_throughput,fmas_per_thread,65536,1024,32,,GFLOPS,2353.0071,1.854605,7
fp32_throughput,fmas_per_thread,131072,1024,32,,GFLOPS,5996.7714,2.371518,7
fp32_throughput,fmas_per_thread,262144,1024,32,,GFLOPS,10414.7229,1.651388,7
fp32_throughput,fmas_per_thread,524288,1024,32,,GFLOPS,12069.1529,2.847683,7
fp32_throughput,fmas_per_thread,1048576,1024,32,,GFLOPS,13274.1429,5.177567,7
fp32_throughput,fmas_per_thread,256,1024,64,,GFLOPS,68.3571,0.492886,7
fp32_throughput,fmas_per_thread,512,1024,64,,GFLOPS,126.5614,0.536454,7
