suite,benchmark,non_scaling_combo,non_scaling_slug,scaling_param_name,scaling_param_value,sim_time_ms_aligned,offset_ms,anchor_x,is_anchor,mape,smape
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,262144,0.133056,0.008267,1,False,0.014466,0.014790
microbench,empty_kernel,block_size=256,block_size-256,num_blocks,500000,0.246276,0.008267,1,False,0.014466,0.014790
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,1,0.008672,0.008307,1,True,0.344577,1.003727
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,8,0.008672,0.008307,1,False,0.344577,1.003727
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,64,0.008676,0.008307,1,False,0.344577,1.003727
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,512,0.008702,0.008307,1,False,0.344577,1.003727
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,4096,0.008915,0.008307,1,False,0.344577,1.003727
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,32768,0.012216,0.008307,1,False,0.344577,1.003727
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,100000,0.020217,0.008307,1,False,0.344577,1.003727
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,262144,0.039512,0.008307,1,False,0.344577,1.003727
microbench,empty_kernel,block_size=32,block_size-32,num_blocks,500000,0.067817,0.008307,1,False,0.344577,1.003727
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,1,0.008649,0.008284,1,True,0.345721,1.006418
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,8,0.008649,0.008284,1,False,0.345721,1.006418
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,64,0.008653,0.008284,1,False,0.345721,1.006418
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,512,0.008679,0.008284,1,False,0.345721,1.006418
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,4096,0.008892,0.008284,1,False,0.345721,1.006418
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,32768,0.012193,0.008284,1,False,0.345721,1.006418
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,100000,0.020194,0.008284,1,False,0.345721,1.006418
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,262144,0.039489,0.008284,1,False,0.345721,1.006418
microbench,empty_kernel,block_size=64,block_size-64,num_blocks,500000,0.067794,0.008284,1,False,0.345721,1.006418
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,256,0.005626,0.003384,256,True,0.104179,0.117585
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,512,0.006601,0.003384,256,False,0.104179,0.117585
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,1024,0.008551,0.003384,256,False,0.104179,0.117585
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,2048,0.012450,0.003384,256,False,0.104179,0.117585
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,4096,0.020249,0.003384,256,False,0.104179,0.117585
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,8192,0.035846,0.003384,256,False,0.104179,0.117585
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,16384,0.067042,0.003384,256,False,0.104179,0.117585
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,32768,0.129432,0.003384,256,False,0.104179,0.117585
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,65536,0.254212,0.003384,256,False,0.104179,0.117585
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,131072,0.503774,0.003384,256,False,0.104179,0.117585
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,262144,1.002896,0.003384,256,False,0.104179,0.117585
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,524288,2.001140,0.003384,256,False,0.104179,0.117585
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,1048576,3.997629,0.003384,256,False,0.104179,0.117585
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,256,0.005692,0.003480,256,True,0.175167,0.219081
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,512,0.006799,0.003480,256,False,0.175167,0.219081
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,1024,0.009078,0.003480,256,False,0.175167,0.219081
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,2048,0.013648,0.003480,256,False,0.175167,0.219081
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,4096,0.022788,0.003480,256,False,0.175167,0.219081
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,8192,0.041038,0.003480,256,False,0.175167,0.219081
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,16384,0.077572,0.003480,256,False,0.175167,0.219081
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,32768,0.150641,0.003480,256,False,0.175167,0.219081
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,65536,0.296794,0.003480,256,False,0.175167,0.219081
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,131072,0.589006,0.003480,256,False,0.175167,0.219081
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,262144,1.173589,0.003480,256,False,0.175167,0.219081
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,524288,2.343100,0.003480,256,False,0.175167,0.219081
microbench,fp32_throughput,"num_blocks=1, threads_per_block=1024",num_blocks-1_threads_per_block-1024,fmas_per_thread,1048576,4.680963,0.003480,256,False,0.175167,0.219081
microbench,fp32_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,256,0.005666,0.003603,256,True,0.090958,0.098931
microbench,fp32_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,512,0.006641,0.003603,256,False,0.090958,0.098931
microbench,fp32_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,1024,0.008590,0.003603,256,False,0.090958,0.098931
microbench,fp32_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,2048,0.012490,0.003603,256,False,0.090958,0.098931
microbench,fp32_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,4096,0.020289,0.003603,256,False,0.090958,0.098931
microbench,fp32_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,8192,0.035886,0.003603,256,False,0.090958,0.098931
microbench,fp32_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,16384,0.067081,0.003603,256,False,0.090958,0.098931
microbench,fp32_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,32768,0.129471,0.003603,256,False,0.090958,0.098931
microbench,fp32_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,65536,0.254252,0.003603,256,False,0.090958,0.098931
microbench,fp32_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,131072,0.503813,0.003603,256,False,0.090958,0.098931
microbench,fp32_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,262144,1.002935,0.003603,256,False,0.090958,0.098931
microbench,fp32_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,524288,2.001180,0.003603,256,False,0.090958,0.098931
microbench,fp32_throughput,"num_blocks=1, threads_per_block=256",num_blocks-1_threads_per_block-256,fmas_per_thread,1048576,3.997668,0.003603,256,False,0.090958,0.098931
microbench,fp32_throughput,"num_blocks=1, threads_per_block=32",num_blocks-1_threads_per_block-32,fmas_per_thread,256,0.005680,0.003619,256,True,0.107489,0.125065
microbench,fp32_throughput,"num_blocks=1, threads_per_block=32",num_blocks-1_threads_per_block-32,fmas_per_thread,512,0.006655,0.003619,256,False,0.107489,0.125065
microbench,fp32_throughput,"num_blocks=1, threads_per_block=32",num_blocks-1_threads_per_block-32,fmas_per_thread,1024,0.008605,0.003619,256,False,0.107489,0.125065
microbench,fp32_throughput,"num_blocks=1, threads_per_block=32",num_blocks-1_threads_per_block-32,fmas_per_thread,2048,0.012504,0.003619,256,False,0.107489,0.125065
microbench,fp32_throughput,"num_blocks=1, threads_per_block=32",num_blocks-1_threads_per_block-32,fmas_per_thread,4096,0.020303,0.003619,256,False,0.107489,0.125065
microbench,fp32_throughput,"num_blocks=1, threads_per_block=32",num_blocks-1_threads_per_block-32,fmas_per_thread,8192,0.035900,0.003619,256,False,0.107489,0.125065
microbench,fp32_throughput,"num_blocks=1, threads_per_block=32",num_blocks-1_threads_per_block-32,fmas_per_thread,16384,0.067095,0.003619,256,False,0.107489,0.125065
microbench,fp32_throughput,"num_blocks=1, threads_per_block=32",num_blocks-1_threads_per_block-32,fmas_per_thread,32768,0.129486,0.003619,256,False,0.107489,0.125065
microbench,fp32_throughput,"num_blocks=1, threads_per_block=32",num_blocks-1_threads_per_block-32,fmas_per_thread,65536,0.254266,0.003619,256,False,0.107489,0.125065
microbench,fp32_throughput,"num_blocks=1, threads_per_block=32",num_blocks-1_threads_per_block-32,fmas_per_thread,131072,0.503827,0.003619,256,False,0.107489,0.125065
microbench,fp32_throughput,"num_blocks=1, threads_per_block=32",num_blocks-1_threads_per_block-32,fmas_per_thread,262144,1.002950,0.003619,256,False,0.107489,0.125065
microbench,fp32_throughput,"num_blocks=1, threads_per_block=32",num_blocks-1_threads_per_block-32,fmas_per_thread,524288,2.001194,0.003619,256,False,0.107489,0.125065
microbench,fp32_throughput,"num_blocks=1, threads_per_block=32",num_blocks-1_threads_per_block-32,fmas_per_thread,1048576,3.997683,0.003619,256,False,0.107489,0.125065
microbench,fp32_throughput,"num_blocks=1, threads_per_block=64",num_blocks-1_threads_per_block-64,fmas_per_thread,256,0.006548,0.004487,256,True,0.115944,0.123520
microbench,fp32_throughput,"num_blocks=1, threads_per_block=64",num_blocks-1_threads_per_block-64,fmas_per_thread,512,0.007523,0.004487,256,False,0.115944,0.123520
microbench,fp32_throughput,"num_blocks=1, threads_per_block=64",num_blocks-1_threads_per_block-64,fmas_per_thread,1024,0.009473,0.004487,256,False,0.115944,0.123520
microbench,fp32_throughput,"num_blocks=1, threads_per_block=64",num_blocks-1_threads_per_block-64,fmas_per_thread,2048,0.013372,0.004487,256,False,0.115944,0.123520
microbench,fp32_throughput,"num_blocks=1, threads_per_block=64",num_blocks-1_threads_per_block-64,fmas_per_thread,4096,0.021171,0.004487,256,False,0.115944,0.123520
microbench,fp32_throughput,"num_blocks=1, threads_per_block=64",num_blocks-1_threads_per_block-64,fmas_per_thread,8192,0.036769,0.004487,256,False,0.115944,0.123520
microbench,fp32_throughput,"num_blocks=1, threads_per_block=64",num_blocks-1_threads_per_block-64,fmas_per_thread,16384,0.067964,0.004487,256,False,0.115944,0.123520
microbench,fp32_throughput,"num_blocks=1, threads_per_block=64",num_blocks-1_threads_per_block-64,fmas_per_thread,32768,0.130354,0.004487,256,False,0.115944,0.123520
microbench,fp32_throughput,"num_blocks=1, threads_per_block=64",num_blocks-1_threads_per_block-64,fmas_per_thread,65536,0.255135,0.004487,256,False,0.115944,0.123520
microbench,fp32_throughput,"num_blocks=1, threads_per_block=64",num_blocks-1_threads_per_block-64,fmas_per_thread,131072,0.504696,0.004487,256,False,0.115944,0.123520
microbench,fp32_throughput,"num_blocks=1, threads_per_block=64",num_blocks-1_threads_per_block-64,fmas_per_thread,262144,1.003818,0.004487,256,False,0.115944,0.123520
microbench,fp32_throughput,"num_blocks=1, threads_per_block=64",num_blocks-1_threads_per_block-64,fmas_per_thread,524288,2.002062,0.004487,256,False,0.115944,0.123520
microbench,fp32_throughput,"num_blocks=1, threads_per_block=64",num_blocks-1_threads_per_block-64,fmas_per_thread,1048576,3.998551,0.004487,256,False,0.115944,0.123520
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,256,0.005773,0.002495,256,True,0.063207,0.063207
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,512,0.007571,0.002495,256,False,0.063207,0.063207
microbench,fp64_throughput,"num_blocks=1, threads_per_block=1",num_blocks-1_threads_per_block-1,fmas_per_thread,1024,0.011165,0.002495,256,False,0.063207,0.063207
