suite,benchmark,non_scaling_combo,non_scaling_slug,scaling_param_name,scaling_param_value,time_ms_avg
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,1280,0.177283
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,1536,0.212697
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,1792,0.243379
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,2048,0.269907
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,2560,0.328762
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,3072,0.394553
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,3584,0.485899
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,4096,0.595790
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,5120,0.766604
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,6144,0.883487
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,7168,0.987760
altis,altis_raytracing,"height=1024, spheres=256",height-1024_spheres-256,width,8192,1.092403
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,64,0.015275
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,128,0.013484
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,256,0.016411
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,384,0.021903
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,512,0.025685
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,640,0.031325
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,768,0.034813
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,1024,0.043632
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,1280,0.051263
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,1536,0.060872
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,1792,0.068609
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,2048,0.079113
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,2560,0.095497
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,3072,0.112509
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,3584,0.131111
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,4096,0.152039
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,5120,0.181305
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,6144,0.221744
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,7168,0.247335
altis,altis_raytracing,"height=1024, spheres=64",height-1024_spheres-64,width,8192,0.269498
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,64,0.006000
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,128,0.005853
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,256,0.006588
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,384,0.007845
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,512,0.008686
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,640,0.009689
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,768,0.010397
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,1024,0.012455
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,1280,0.014834
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,1536,0.016678
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,1792,0.019017
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,2048,0.021088
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,2560,0.025111
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,3072,0.029400
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,3584,0.033410
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,4096,0.037725
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,5120,0.045570
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,6144,0.054003
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,7168,0.061527
altis,altis_raytracing,"height=1024, spheres=8",height-1024_spheres-8,width,8192,0.070466
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,64,0.040425
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,128,0.047735
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,256,0.080729
altis,altis_raytracing,"height=2048, spheres=256",height-2048_spheres-256,width,384,0.117667
