session_id,tier,suite,benchmark,non_scaling_params_json,scaling_param_name,scaling_param_value,time_ms_avg
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,1572864,0.030188
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,2097152,0.031766
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,2621440,0.032728
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,3145728,0.030015
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,4194304,0.035360
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,5242880,0.035026
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,6291456,0.034866
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,8388608,0.037525
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,10485760,0.036523
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,12582912,0.037512
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,14680064,0.040145
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":32}",table_size,16777216,0.041561
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,65536,0.306617
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,81920,0.276802
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,98304,0.277123
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,131072,0.277737
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,163840,0.276963
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,196608,0.277911
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,262144,0.279355
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,327680,0.278713
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,393216,0.277684
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,524288,0.278071
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,655360,0.277803
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,786432,0.279741
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,1048576,0.282295
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,1310720,0.287491
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,1572864,0.288708
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,2097152,0.298331
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,2621440,0.302393
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,3145728,0.315274
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,4194304,0.333637
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,5242880,0.346573
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,6291456,0.372526
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,8388608,0.407900
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,10485760,0.476455
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,12582912,0.546615
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,14680064,0.579088
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":16384,""num_updates"":512}",table_size,16777216,0.606350
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,65536,1.062866
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,81920,1.061665
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,98304,1.058356
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,131072,1.061517
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,163840,1.057880
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,196608,1.064870
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,262144,1.061931
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,327680,1.066553
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,393216,1.064229
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,524288,1.065915
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,655360,1.061254
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,786432,1.060568
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,1048576,1.063096
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,1310720,1.058348
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,1572864,1.061049
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,2097152,1.064118
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,2621440,1.061190
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,3145728,1.063482
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,4194304,1.063264
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,5242880,1.065792
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,6291456,1.073969
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,8388608,1.074644
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,10485760,1.099786
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,12582912,1.136088
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,14680064,1.127707
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":128}",table_size,16777216,1.150306
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,65536,0.290179
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,81920,0.270692
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,98304,0.269038
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,131072,0.271176
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,163840,0.271703
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,196608,0.269184
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,262144,0.269104
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,327680,0.269398
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,393216,0.270481
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,524288,0.271310
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,655360,0.269933
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,786432,0.270092
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,1048576,0.267261
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,1310720,0.268516
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,1572864,0.269265
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,2097152,0.270508
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,2621440,0.269959
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,3145728,0.270160
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,4194304,0.274918
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,5242880,0.273569
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,6291456,0.276922
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,8388608,0.283110
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,10485760,0.293961
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,12582912,0.303568
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,14680064,0.311694
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":32}",table_size,16777216,0.323601
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,65536,4.206003
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,81920,4.210852
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,98304,4.217990
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,131072,4.217593
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,163840,4.213176
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,196608,4.213453
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,262144,4.211022
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,327680,4.215445
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,393216,4.217197
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,524288,4.217137
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,655360,4.211561
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,786432,4.219956
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,1048576,4.216366
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,1310720,4.225306
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,1572864,4.218734
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,2097152,4.215957
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,2621440,4.214693
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,3145728,4.226313
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,4194304,4.231901
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,5242880,4.230075
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,6291456,4.220988
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,8388608,4.234257
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,10485760,4.282791
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,12582912,4.404028
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,14680064,4.398037
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":262144,""num_updates"":512}",table_size,16777216,4.436001
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,65536,0.267728
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,81920,0.269143
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,98304,0.268704
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,131072,0.269051
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,163840,0.266827
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,196608,0.267969
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,262144,0.267968
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,327680,0.268196
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,393216,0.267998
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,524288,0.268195
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,655360,0.268731
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,786432,0.266793
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,1048576,0.269987
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,1310720,0.268396
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,1572864,0.268222
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,2097152,0.267821
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,2621440,0.268757
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,3145728,0.271001
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,4194304,0.273194
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,5242880,0.273674
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,6291456,0.275346
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,8388608,0.282935
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,10485760,0.289871
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,12582912,0.296352
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,14680064,0.304077
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",table_size,16777216,0.315209
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":32}",table_size,65536,0.070627
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":32}",table_size,81920,0.070761
2,2,altis,altis_gups,"{""block_size"":256,""num_threads"":65536,""num_updates"":32}",table_size,98304,0.071002
