,benchmark,env,num_access,time
217,dram_read,gpu,256,0.00011087900000000001
218,dram_read,gpu,256,0.00011104000000000001
219,dram_read,gpu,256,0.00011328000000000001
220,dram_read,gpu,256,0.00011104000000000001
221,dram_read,gpu,256,0.00011088000000000001
222,dram_read,gpu,256,0.00011104000000000001
223,dram_read,gpu,256,0.00011343900000000001
224,dram_read,gpu,256,0.00011088000000000001
225,dram_read,gpu,256,0.000111359
226,dram_read,gpu,256,0.0001112
227,dram_read,gpu,256,0.00011296
228,dram_read,gpu,256,0.0001112
229,dram_read,gpu,256,0.0001112
230,dram_read,gpu,256,0.00011087900000000001
231,dram_read,gpu,256,0.00011312
232,dram_read,gpu,256,0.00011136
233,dram_read,gpu,256,0.00011136
234,dram_read,gpu,256,0.00011312
235,dram_read,gpu,256,0.00011071900000000001
236,dram_read,gpu,256,0.000111199
237,dram_read,gpu,256,0.00011104000000000001
238,dram_read,gpu,256,0.00011248000000000001
239,dram_read,gpu,256,0.00011088000000000001
240,dram_read,gpu,256,0.00011104000000000001
241,dram_read,gpu,256,0.00011104000000000001
242,dram_read,gpu,256,0.00011344000000000001
243,dram_read,gpu,256,0.000111199
244,dram_read,gpu,256,0.00011152
245,dram_read,gpu,256,0.00011136
246,dram_read,gpu,256,0.00011344000000000001
247,dram_read,gpu,256,0.0001112
248,dram_read,gpu,256,0.00011136
249,dram_read,gpu,256,0.00011296
250,dram_read,gpu,256,0.00011104000000000001
251,dram_read,gpu,256,0.00011072000000000001
252,dram_read,gpu,256,0.00011072000000000001
253,dram_read,gpu,256,0.000112319
254,dram_read,gpu,256,0.0001112
255,dram_read,gpu,256,0.0001112
256,dram_read,gpu,256,0.000111199
257,dram_read,gpu,256,0.00011312
258,dram_read,gpu,256,0.00011088000000000001
259,dram_read,gpu,256,0.00011184000000000001
260,dram_read,gpu,256,0.00011072000000000001
261,dram_read,gpu,256,0.00011311900000000001
262,dram_read,gpu,256,0.000111039
263,dram_read,gpu,256,0.000111519
264,dram_read,gpu,256,0.000111039
265,dram_read,gpu,256,0.00011087900000000001
266,dram_read,gpu,256,0.00011087900000000001
267,dram_read,gpu,256,0.000111519
268,dram_read,gpu,256,0.00011296
269,dram_read,gpu,256,0.0001112
270,dram_read,gpu,256,0.0001112
271,dram_read,gpu,256,0.00011055900000000001
272,dram_read,gpu,256,0.00011312
273,dram_read,gpu,256,0.00011072000000000001
274,dram_read,gpu,256,0.0001112
275,dram_read,gpu,256,0.000111359
276,dram_read,gpu,256,0.00011312
277,dram_read,gpu,256,0.00011167900000000001
278,dram_read,gpu,256,0.00011104000000000001
279,dram_read,gpu,256,0.00011168
280,dram_read,gpu,256,0.000113121
281,dram_read,gpu,256,0.00011088000000000001
282,dram_read,gpu,256,0.000111039
283,dram_read,gpu,256,0.00011296
284,dram_read,gpu,256,0.00011104000000000001
285,dram_read,gpu,256,0.00011071900000000001
286,dram_read,gpu,256,0.00011104000000000001
287,dram_read,gpu,256,0.00011264
288,dram_read,gpu,256,0.0001112
289,dram_read,gpu,256,0.0001112
290,dram_read,gpu,256,0.00011087900000000001
291,dram_read,gpu,256,0.00011328000000000001
292,dram_read,gpu,256,0.00011104000000000001
293,dram_read,gpu,256,0.000111359
294,dram_read,gpu,256,0.0001112
295,dram_read,gpu,256,0.0001128
296,dram_read,gpu,256,0.00011104000000000001
297,dram_read,gpu,256,0.00011088100000000001
298,dram_read,gpu,256,0.00011264
299,dram_read,gpu,256,0.00011072000000000001
300,dram_read,gpu,384,0.00016976
301,dram_read,gpu,384,0.000169759
302,dram_read,gpu,384,0.00017312000000000002
303,dram_read,gpu,384,0.0001696
304,dram_read,gpu,384,0.00017040000000000002
305,dram_read,gpu,384,0.0001696
306,dram_read,gpu,384,0.00017344000000000002
307,dram_read,gpu,384,0.000170079
308,dram_read,gpu,384,0.00017024000000000002
