run_id,suite,benchmark,platform,problem_size,kernel_name,iterations,avg_ms,min_ms,max_ms,stddev_ms
20260317-075319-odyssey,polybench,gemm,hip,896,gemm,10,0.4362,0.4285,0.4434,0.0061
20260317-075319-odyssey,polybench,gemm,hip,1024,gemm,10,0.7409,0.7392,0.7433,0.0014
20260317-075319-odyssey,polybench,gemm,hip,1280,gemm,10,1.2610,1.2489,1.2851,0.0106
20260317-075319-odyssey,polybench,gemm,hip,1536,gemm,10,2.1101,2.0918,2.1553,0.0191
20260317-075319-odyssey,polybench,gemm,hip,1792,gemm,10,3.0994,3.0681,3.1863,0.0318
20260317-075319-odyssey,polybench,gemm,hip,2048,gemm,10,4.5469,4.5111,4.5743,0.0220
20260317-075319-odyssey,polybench,gemm,hip,2560,gemm,10,9.3958,9.3228,9.4829,0.0547
20260317-075319-odyssey,polybench,gemm,hip,3072,gemm,10,15.0139,14.9839,15.0518,0.0229
20260317-075319-odyssey,polybench,gemm,hip,3584,gemm,10,25.3736,25.1741,25.7157,0.1685
20260317-075319-odyssey,polybench,gemm,hip,4096,gemm,10,39.6016,39.2636,39.7721,0.1379
20260317-075319-odyssey,polybench,gesummv,hip,64,gesummv,10,0.0120,0.0117,0.0121,0.0001
20260317-075319-odyssey,polybench,gesummv,hip,128,gesummv,10,0.0342,0.0332,0.0349,0.0006
20260317-075319-odyssey,polybench,gesummv,hip,192,gesummv,10,0.0395,0.0390,0.0401,0.0003
20260317-075319-odyssey,polybench,gesummv,hip,256,gesummv,10,0.1176,0.1124,0.1266,0.0057
20260317-075319-odyssey,polybench,gesummv,hip,384,gesummv,10,0.1801,0.1745,0.1855,0.0032
20260317-075319-odyssey,polybench,gesummv,hip,512,gesummv,10,0.2491,0.2414,0.2559,0.0044
20260317-075319-odyssey,polybench,gesummv,hip,640,gesummv,10,0.3177,0.2928,0.3269,0.0106
20260317-075319-odyssey,polybench,gesummv,hip,768,gesummv,10,0.3678,0.3520,0.3897,0.0124
20260317-075319-odyssey,polybench,gesummv,hip,896,gesummv,10,0.4403,0.4292,0.4524,0.0074
20260317-075319-odyssey,polybench,gesummv,hip,1024,gesummv,10,0.4969,0.4864,0.5035,0.0063
20260317-075319-odyssey,polybench,gesummv,hip,1280,gesummv,10,0.6500,0.6388,0.6625,0.0069
20260317-075319-odyssey,polybench,gesummv,hip,1536,gesummv,10,0.7663,0.7516,0.7854,0.0111
20260317-075319-odyssey,polybench,gesummv,hip,1792,gesummv,10,0.9262,0.8787,0.9557,0.0259
20260317-075319-odyssey,polybench,gesummv,hip,2048,gesummv,10,1.0781,1.0410,1.1411,0.0284
20260317-075319-odyssey,polybench,gesummv,hip,2560,gesummv,10,1.3748,1.3492,1.4058,0.0180
20260317-075319-odyssey,polybench,gesummv,hip,3072,gesummv,10,1.6471,1.6104,1.6620,0.0160
20260317-075319-odyssey,polybench,gesummv,hip,3584,gesummv,10,1.9166,1.8848,1.9611,0.0200
