,benchmark,arg,time
94,l1v_read,50000,0.010148465168
95,l1v_read,50000,0.010407729074
96,l1v_read,50000,0.010163727216
97,l1v_read,50000,0.010680071078
98,l1v_read,50000,0.010421114974
99,l1v_read,50000,0.010418760125
100,l1v_read,60000,0.010415881872
101,l1v_read,60000,0.010415488854
102,l1v_read,60000,0.010137605947
103,l1v_read,60000,0.010419872589
104,l1v_read,60000,0.010128778405
105,l1v_read,60000,0.010683652945
106,l1v_read,60000,0.010418365244
107,l1v_read,60000,0.010408146773
108,l1v_read,60000,0.010154132731
109,l1v_read,60000,0.010408256669
110,l1v_read,60000,0.010402968619
111,l1v_read,60000,0.010421880055
112,l1v_read,60000,0.010676443111
113,l1v_read,60000,0.010398343205
114,l1v_read,60000,0.010144900996
115,l1v_read,60000,0.010419655126
116,l1v_read,60000,0.010156405158
117,l1v_read,60000,0.010395859834
118,l1v_read,60000,0.010409216397
119,l1v_read,60000,0.010687142611
120,l1v_read,70000,0.010144922882
121,l1v_read,70000,0.010435130913
122,l1v_read,70000,0.010160357226
123,l1v_read,70000,0.010422038846
124,l1v_read,70000,0.010145095177
125,l1v_read,70000,0.010427370667
126,l1v_read,70000,0.010431543924
127,l1v_read,70000,0.010397022124
128,l1v_read,70000,0.010146994144
129,l1v_read,70000,0.010422511026
130,l1v_read,70000,0.010140634142
131,l1v_read,70000,0.010421643965
132,l1v_read,70000,0.010417498183
133,l1v_read,70000,0.010681128129
134,l1v_read,70000,0.010428198148
135,l1v_read,70000,0.010412958916
136,l1v_read,70000,0.010169817135
137,l1v_read,70000,0.010422153864
138,l1v_read,70000,0.010147258174
139,l1v_read,70000,0.010397730861
140,l1v_read,80000,0.010419389699
141,l1v_read,80000,0.010402619839
142,l1v_read,80000,0.010158661287
143,l1v_read,80000,0.010670478921
144,l1v_read,80000,0.010146322194
145,l1v_read,80000,0.010405671783
146,l1v_read,80000,0.010404625908
147,l1v_read,80000,0.010688300245
148,l1v_read,80000,0.010153227951
149,l1v_read,80000,0.010401907843
150,l1v_read,80000,0.010153158568
151,l1v_read,80000,0.010395179037
152,l1v_read,80000,0.010131981689
153,l1v_read,80000,0.010414569173
154,l1v_read,80000,0.010684116278
155,l1v_read,80000,0.010424897075
156,l1v_read,80000,0.010161835235
157,l1v_read,80000,0.010430605151
158,l1v_read,80000,0.010153281968
159,l1v_read,80000,0.010421454906
160,l1v_read,90000,0.010404141154
161,l1v_read,90000,0.010960255284
162,l1v_read,90000,0.010158371646
163,l1v_read,90000,0.010413274169
164,l1v_read,90000,0.010144009255
165,l1v_read,90000,0.010401242878
166,l1v_read,90000,0.01042360859
167,l1v_read,90000,0.010425888933
168,l1v_read,90000,0.010418438353
169,l1v_read,90000,0.010411082767
170,l1v_read,90000,0.010154627264
171,l1v_read,90000,0.010409570765
172,l1v_read,90000,0.010155676398
173,l1v_read,90000,0.010412244592
174,l1v_read,90000,0.010160334874
175,l1v_read,90000,0.010670484975
176,l1v_read,90000,0.010411220137
177,l1v_read,90000,0.010406138841
178,l1v_read,90000,0.010154529009
179,l1v_read,90000,0.010422923137
